#date,usage
1/28/2019,33.4
1/27/2019,97.6
1/26/2019,98.0
1/25/2019,52.0
1/24/2019,68.9
1/23/2019,57.5
1/22/2019,167.5
1/21/2019,66.6
1/20/2019,165.7
1/19/2019,129.3
1/18/2019,48.5
1/17/2019,65.8
1/16/2019,48.3
1/15/2019,83.0
1/14/2019,50.9
1/13/2019,274.7
1/12/2019,275.2
1/11/2019,220.9
1/10/2019,170.9
1/9/2019,137.9
1/8/2019,158.9
1/7/2019,147.5
1/6/2019,184.6
1/5/2019,126.9
1/4/2019,151.8
1/3/2019,219.9
1/2/2019,208.8
1/1/2019,157.5
12/31/2018,53.1
12/30/2018,96.8
12/29/2018,237.9
12/28/2018,181.9
12/27/2018,86.4
12/26/2018,141.5
12/25/2018,133.2
12/24/2018,99.7
12/23/2018,214.3
12/22/2018,84.3
12/21/2018,100.1
12/20/2018,95.2
12/19/2018,85.4
12/18/2018,103.4
12/17/2018,75.8
12/16/2018,136.6
12/15/2018,79.3
12/14/2018,38.8
12/13/2018,66.1
12/12/2018,94.6
12/11/2018,127.4
12/10/2018,89.2
12/9/2018,109.5
12/8/2018,84.8
12/7/2018,95.3
12/6/2018,112.8
12/5/2018,67.2
12/4/2018,78.7
12/3/2018,87.0
12/2/2018,381.2
11/30/2018,80.4
11/29/2018,76.8
11/28/2018,43.5
11/27/2018,47.0
11/26/2018,14.7
11/25/2018,0.2
11/24/2018,0.0
11/23/2018,0.0
11/22/2018,0.0
11/21/2018,0.0
11/20/2018,20.9
11/19/2018,106.6
11/18/2018,59.1
11/17/2018,61.7
11/16/2018,37.8
11/15/2018,55.0
11/14/2018,83.6
11/13/2018,80.1
11/12/2018,71.8
11/11/2018,95.7
11/10/2018,101.0
11/9/2018,50.4
11/8/2018,58.9
11/7/2018,48.9
11/6/2018,30.3
11/5/2018,53.3
11/4/2018,122.4
11/3/2018,139.4
11/2/2018,41.2
11/1/2018,54.5
